state,bea,industry,census_share,share_ratio_before,factor,share_ratio_after,output_unadjusted,output_adjusted
AR,481,Air transportation,8.319229903736778e-4,1.51810162024745,0.6644882092283352,1.0087606270648626,356.1226782220408,236.63932071736252
AR,484,Truck transportation,0.02406541910678407,0.7728992779960573,1.2938296469790487,1,9545.734487891365,12350.554282624214
AR,485,Transit and ground passenger transportation,0.0012220651863031186,1.4782726789142742,0.6793487875654317,1.0042627521115148,277.45704950408776,188.49011018208398
AR,486,Pipeline transportation,0.004135310105137679,0.7224383936954333,1.5230007886643953,1.100274243359584,157.59096191356124,240.01115928073446
AR,487OS,Other transportation and support activities,0.0074227467093513355,0.7981388086360501,1.252914892973207,0.9999999999999994,2148.860040180959,2692.3387472577274
AR,493,Warehousing and storage,0.007278432582493226,0.9578617296096789,1.0456753239531125,1.0016123744118894,1153.8828682282424,1206.5868420385139
AR,4A0,Other retail,0.007383721418450633,1.0723516473698207,0.9299397469210352,0.9972224195654467,12552.939908474804,11673.477761602022
AR,511,"Publishing industries, except internet (includes software)",0.001582979136708648,0.5348899551110251,1.8687609732785888,0.9995814731102203,490.8049341146761,917.1971063660758
AR,521CI,"Federal Reserve banks, credit intermediation, and related activities",0.00398279519980921,1.3035732579737356,0.795428918238817,1.0368998664350988,6688.658932311252,5320.35273899674
AR,523,"Securities, commodity contracts, and investments",0.0014462903247606652,1.2400561445812863,0.8061833047390276,0.9997125607004789,1550.3621153936408,1249.8760537302348
AR,524,Insurance carriers and related activities,0.003766852704518461,1.1527023418394855,0.8618319473911719,0.9934357040298882,6803.358258670109,5863.351496869472
AR,532RL,Rental and leasing services and lessors of intangible assets,0.004699306635725262,1.166163953598654,0.8485707196370156,0.9895725853199575,3861.683460265138,3276.9115128875487
AR,5412OP,"Miscellaneous professional, scientific, and technical services",0.0024481950045090726,1.3138864660189666,0.7611007692544152,1.0000000000000007,6914.055845546453,5262.2932227133915
