state,bea,industry,output_type1,output_type2,direct_jobs,jobs_type1,jobs_type2,labor_type2,va_type2,jobs_multiplier,direct_jobs_se,jobs_type2_se,labor_type2_se,output_type2_se
AL,452,General merchandise stores,1.1923860066229957,1.5903578054263767,12.13994935056972,12.795720202409036,14.466136188326274,0.5463420463630928,0.9956884100172372,1.191614212760071,12.945278743670992,16.381871002853668,0.5852098834648098,1.6186702941867357
AL,4A0,Other retail,1.2572435297682887,1.551338312571013,5.264210856175979,6.215342558986931,7.449753208298374,0.4037380184833932,0.9329863255910181,1.4151699868857484,7.183276926705808,10.612080135843932,0.45750960083316045,1.5905071327170983
AL,481,Air transportation,1.4923213730081302,1.718280001187447,1.2212586623102355,2.892531770050448,3.8409530044232305,0.31019961636496896,0.9148418714466471,3.1450773885667767,2.5442914126459057,7.1245799010525,0.3948322612976827,1.7799289373540326
AL,482,Rail transportation,1.2467089531951179,1.3744167369646798,1.6988470203555541,2.3798926758907317,2.915923430271226,0.17531928677094313,0.7797944719663605,1.7164131880814955,1.6988470203555541,3.4523438804966453,0.18922753077617865,1.3845479156316087
AL,483,Water transportation,1.765977559605191,2.1351675845079394,1.2815178222084855,4.435495934464474,5.985105533167265,0.5068299671200113,0.9768507334301606,4.67032563218896,1.6279828006807147,9.09590165370686,0.5576895486622013,2.1722152166414563
AL,484,Truck transportation,1.3264855676635974,1.6700764234631615,3.363384758162249,4.608202458696848,6.050364088913596,0.4716870186118962,0.8632384512432631,1.7988914513067813,5.6639007862579565,10.417991449587968,0.6168199993064792,1.7757956039238472
AL,485,Transit and ground passenger transportation,1.6775925142072936,2.2077617950365767,7.859799419962575,10.462070346867161,12.687361798679339,0.7278248626612471,1.1581247318027101,1.6142093609228199,50.343792277768365,58.489088112295256,0.9038036789739923,2.3359499997436517
AL,486,Pipeline transportation,1.3851181247474746,1.7929744029397212,2.115106153230044,3.623878229084356,5.335782562752054,0.5599116176562959,1.1486963214769128,2.5227020188105524,2.1869833229075075,7.077393253773629,0.5968799759925598,1.81990325486285
AL,487OS,Other transportation and support activities,1.3257218239845951,1.8787238611236683,5.974575326220458,7.276192863062439,9.597320756695636,0.7591700354697426,1.098305226799524,1.6063603239842221,15.491015516958909,21.500693813376127,0.8686725328768506,1.9584887376450104
AL,493,Warehousing and storage,1.2635886516188857,1.9015579722426383,11.690612601330656,12.779421000887744,15.457183985347806,0.8758144803085773,1.1755438430305176,1.3221876827556862,11.888675249874872,17.41293030931614,0.9162989044784224,1.931048031112617
AL,511,"Publishing industries, except internet (includes software)",1.3051231899091869,1.695280847119724,2.5509863613025403,3.8333125409897195,5.470930054572602,0.5356146678874283,1.0923729565374283,2.144633204459443,2.8682754106547526,7.327277649911611,0.5791287400378853,1.726977791702804
